country,date,renewable_energy_consumption_percent,electric_power_consumption,CO2_emisions,other_greenhouse_emisions,population,Category
Gabon,01/01/2010,85.83,908.769479372,5762.09,15516.97679,1711105,Others
"Congo, Rep.",01/01/2010,54.8,134.974235469,5423.35,17324.56927,4437884,Others
Georgia,01/01/2010,39.15,2049.544523655,5322.1,13087.03193,3786695,Others
Cambodia,01/01/2010,64.82,143.766867369,5140.8,27846.2403,14363532,Others
Paraguay,01/01/2010,63.61,1268.762525758,5043.3,39952.63228,5768613,Others
Benin,01/01/2010,47.19,92.952250281,4825.1,10475.73048,9445710,Others
Albania,01/01/2010,36.99,1943.343353858,4785.4,9243.210309,2913021,Others
Nepal,01/01/2010,87.29,101.982334083,4640.9,31721.86702,27161567,Others
Nicaragua,01/01/2010,54.44,503.779714038,4513.2,14606.29421,5855734,Others
Armenia,01/01/2010,9.36,1685.847266378,4336.6,7561.591307,2946293,Others
Mauritius,01/01/2010,12.77,1995.361484325,3661.8,5786.682867,1250400,Others
Botswana,01/01/2010,29.41,1483.029779161,3371.7,20889.94268,2091664,Others
Namibia,01/01/2010,31.21,1601.031977291,3103.5,12644.0574,2099271,Others
Mozambique,01/01/2010,84.89,462.300773915,2680.6,27103.67554,23073723,Others
Zambia,01/01/2010,88.59,582.580474049,2656.9,29281.10911,13792086,Others
"Congo, Dem. Rep.",01/01/2010,96.81,101.775449138,2653.9,49865.04896,66391257,Others
Togo,01/01/2010,65.81,121.27473902,2630.1,6561.714289,6571855,Others
Malta,01/01/2010,1.22,4767.097378096,2586.6,3005.876934,414508,Others
Montenegro,01/01/2010,49.09,5419.516069664,2584.2,4138.037945,619428,Others
Haiti,01/01/2010,78.99,24.789492506,2458.2,8938.707434,9842880,Others
Tajikistan,01/01/2010,61.83,1869.773447905,2446.9,8792.343742,7621779,Others
Iceland,01/01/2010,75.89,51439.908691018,1959.124,3237.18338,318041,Others
Suriname,01/01/2010,22.1,2887.855259303,1744.87,3286.180597,546080,Others
Niger,01/01/2010,80.67,43.73017688,1361.057,28101.15571,16647543,Others
Eritrea,01/01/2010,80.9,86.411559833,502.95,5413.118314,3147727,Others
