GDP_per_capita,country,date,agricultural_land%,forest_land%,land_area,avg_precipitation,trade_in_services%,control_of_corruption_estimate,control_of_corruption_std,access_to_electricity%,renewvable_energy_consumption%,electric_power_consumption,CO2_emisions,other_greenhouse_emisions,population_density,inflation_annual%,real_interest_rate,risk_premium_on_lending,research_and_development_expenditure%,central_goverment_debt%,tax_revenue%,expense%,goverment_effectiveness_estimate,goverment_effectiveness_std,human_capital_index,doing_business,time_to_get_operation_license,statistical_performance_indicators,individuals_using_internet%,logistic_performance_index,military_expenditure%,GDP_current_US,political_stability_estimate,political_stability_std,rule_of_law_estimate,rule_of_law_std,regulatory_quality_estimate,regulatory_quality_std,government_expenditure_on_education%,government_health_expenditure%,multidimensional_poverty_headcount_ratio%,gini_index,birth_rate,death_rate,life_expectancy_at_birth,population,rural_population,voice_and_accountability_estimate,voice_and_accountability_std,intentional_homicides
7677.371321068,Montenegro,01-01-2020,19.178438662,61.486988848,13450,,28.355499728,-0.042974085,0.170031041,99.853111267,39.56,,2527.2,3764.437423,46.193754647,-0.255655700,6.092972203,5.002662736,,,,,-0.106561251,0.267702609,0.633181810,,,73.152083333,77.60879306,,1.738027260,4769996866.00758,-0.061226465,0.247393817,-0.039458431,0.152726397,0.424208730,0.250315934,,7.13466835,30.9,35.4,11.4,11.7,75.931707317,621306,201999,0.041489806,0.134961858,2.861469126
52162.570115041,Netherlands,01-01-2020,53.889218889,10.974160974,33670,778,38.879270985,2.000247002,0.149796650,100,10.79,,130315.1,155912.4883,518.013068013,1.272460378,,,2.321820021,,24.373218837,42.944772953,1.805714965,0.231866837,0.789915025,,77.4,88.587083333,91.33333333,,1.441263983,909793466661.481,0.830863893,0.226481333,1.708140492,0.150381744,1.748252153,0.233886927,5.423810005,7.66171503,16.3,26,9.7,9.7,81.358536585,17441500,1354158,1.519863963,0.111107700,0.613723635
5353.348064563,Paraguay,01-01-2020,42.308431915,40.529222250,397300,1130,7.440585863,-0.857943475,0.166852817,99.7,61.44,,7575.7,50784.02825,16.659187012,1.767515924,11.089000085,,0.156969994,,9.514999286,18.472798697,-0.565058231,0.248580188,0.528180063,,,64.84375,73.95751114,,1.027573427,35432178068.1814,0.016684934,0.237614140,-0.428430766,0.161023811,-0.139662296,0.233334079,3.936150074,4.11691141,24.93,43.5,20.946,5.916,73.182,6618695,2502992,0.046724774,0.133094653,7.267293628
15816.820402138,Poland,01-01-2020,48.126612877,30.977035900,306130,600,17.852579584,0.618777275,0.137092009,100,16.14,,279223.8,338383.8449,123.800574919,3.374469726,,,1.386080027,,17.477815536,40.940474113,0.324414283,0.220126405,0.753088593,,,89.240416667,83.18488715,,2.229140786,599442783598.064,0.491565287,0.226481333,0.520833731,0.136636123,0.850681961,0.208771586,4.852650166,4.66816568,17.3,28.5,9.4,12.6,76.5,37899070,15143331,0.615272820,0.103270337,0.692197000
13047.456656399,Romania,01-01-2020,56.715055633,30.115829277,230080,637,17.317143129,-0.098242842,0.137092009,99.995216370,24.06,,68664,95744.39542,83.732832058,2.631073112,2.283259706,2.916254562,0.465380013,57.110622101,14.184286271,37.863684235,-0.286919236,0.220126405,0.584187865,,,84.457916667,78.45526895,,2.009504298,251362514349.697,0.508895397,0.226481333,0.368579715,0.136636123,0.346217543,0.208771586,3.589260101,5.02272987,30.4,34.6,10.3,15.5,74.253658537,19265250,8824640,0.585220873,0.103270337,1.445321693
7733.803468938,Serbia,01-01-2020,41.408015222,32.377809490,84090,,24.190768601,-0.451218128,0.149973631,100,26.01,,46324.3,62883.94612,82.044547509,1.575532901,,,0.905579984,,23.488566160,44.544717738,-0.042799097,0.256462783,0.676606357,,,81.192083333,78.36804864,,2.101333618,53356484591.4378,-0.170778826,0.232469827,-0.122738957,0.142738119,0.080396354,0.221013695,3.562210083,5.30452394,29.8,35,8.9,16.9,74.478048780,6899126,3004845,-0.120646119,0.125125065,1.141613871
19552.091109591,Slovak Republic,01-01-2020,39.163893511,40.056156406,48080,824,18.349310716,0.416197926,0.149983510,100,17.64,,29035.8,35984.33182,113.536335275,1.936941267,,,0.897809982,78.410708794,18.637668666,42.500095458,0.502344251,0.220126405,0.664987326,,,85.930416667,89.92090413,,1.922629040,106731482855.496,0.633921087,0.231230170,0.654226005,0.143190295,0.774733365,0.226835579,4.764679909,5.80533266,14.8,24.2,10.4,10.8,76.865853659,5458827,2524162,0.879936934,0.106275089,1.154548081
25558.429054451,Slovenia,01-01-2020,30.317733061,61.472259192,20136.4,1162,25.668387812,0.777626574,0.137092009,100,22.4,,12477.3,15286.67677,104.408881429,-0.054856816,,,2.142659903,,16.876329394,45.431923556,1.121516109,0.220126405,0.774986982,,,89.117083333,86.60130109,,1.059109213,53734526854.2289,0.701404274,0.226481333,1.038197994,0.136636123,0.912210226,0.208771586,5.386519909,6.86089611,15,24,8.9,11.4,80.531707317,2102419,943608,0.932308793,0.103270337,0.519445931
26984.296277028,Spain,01-01-2020,52.331679223,37.177305489,499556.645,636,11.877503767,0.711180270,0.149796650,100,19.35,,202705.8,270310.9717,94.815383749,-0.322753017,,,1.410390019,140.268036253,13.569315734,41.054592899,0.854268253,0.231866837,0.728255033,,,86.770416667,93.20564892,,1.367893602,1278128867875.49,0.411397874,0.226481333,0.862033606,0.150381744,0.755449116,0.233886927,4.899869919,7.84911251,26.4,34.9,7.2,10.4,82.331707317,47365655,9089469,1.004412174,0.110348202,0.629172397
52837.903977815,Sweden,01-01-2020,7.379478334,68.699070308,407283.532,624,25.390303332,2.094612837,0.149796650,100,58.4,,33576.1,45458.82211,25.420723370,0.497367319,,,3.489599943,43.994051449,26.734382077,34.777647802,1.670379400,0.231866837,0.795357108,,34.4,89.58875,94.53943122,,1.146086424,547054174235.876,0.997299850,0.226481333,1.766856194,0.150381744,1.678616405,0.233886927,7.925610065,9.77640724,17.9,28.9,10.9,9.5,82.356097561,10353442,1244794,1.498141766,0.110348202,1.195875829
