GDP_current_US,government_expenditure_on_education%,government_health_expenditure%,political_stability_estimate,control_of_corruption_estimate,rule_of_law_estimate,life_expectancy_at_birth,population_density,inflation_annual%,trade_in_services%
5611496257.14231,3.13823008537292,2.67035341,-0.309780240058899,-0.853786587715149,-0.716323494911194,76.142,110.934890510949,0.48400261181847,27.598162857426
7184685781.51876,3.22751998901367,2.82082701,-0.427259683609009,-0.723731815814972,-0.701032340526581,76.376,110.472226277372,2.28001916938101,30.0027766489941
8052077248.14638,3.28154993057251,2.66531777,-0.505047976970673,-0.813263893127441,-0.763833165168762,76.621,109.908284671533,2.36658195679796,32.9051093730619
8896075004.63516,3.1914598941803,2.55931067,-0.508157312870026,-0.790545284748077,-0.703135848045349,76.816,109.21704379562,2.37072831904282,36.1879257555604
10677324852.8822,3.27592992782593,2.43571401,-0.203974649310112,-0.706940054893494,-0.661545991897583,77.549,108.394781021898,2.93268248162323,37.7341052229967
12881352893.6855,3.50922608375549,2.2712636,-0.0305009130388498,-0.605212390422821,-0.600079298019409,77.653,107.566204379562,3.32087090389264,39.6561732009093
11926926615.8015,3.41307497024536,2.37874556,-0.191482901573181,-0.531616508960724,-0.385760486125946,77.936,106.314635036496,3.62604695579816,38.4822006190999
12890760315.146,3.24000835418701,2.36555696,-0.282379418611526,-0.701794147491455,-0.442926466464996,78.092,106.02901459854,3.42912324722163,39.269443892675
12319834195.331,3.30906105041504,2.45518684,-0.143631592392921,-0.778729438781738,-0.519839763641357,78.064,105.854051094891,2.03159268395301,34.9265806164893
12776224496.9718,3.53929996490479,2.57775068,0.0919297859072685,-0.750955939292908,-0.518606007099152,78.123,105.660291970803,1.93762080205229,33.3607403729134
13228147516.1168,3.21696710586548,2.5936265,0.485986232757568,-0.586141347885132,-0.310979843139648,78.407,105.441751824818,1.6258650440261,34.480288657765
11386853113.0189,3.43796992301941,2.731354,0.341639041900635,-0.544385254383087,-0.318997442722321,78.644,105.135145985401,1.89617402592365,34.3873305784545
11861199830.8396,3.96209001541138,2.80370712,0.337447881698608,-0.471469223499298,-0.321364849805832,78.86,104.967189781022,1.2754316836741,37.2773563494623
13019726211.7369,3.61172008514404,2.6750803,0.373769819736481,-0.480890601873398,-0.412762373685837,79.047,104.870693430657,1.98666133171199,40.3937845954971
15156424015.1977,3.15294480323792,2.82325125,0.366642981767654,-0.545840263366699,-0.414187848567963,79.184,104.612262773723,2.02805963071136,39.1276058991765
15401826127.2539,3.91623997688293,2.86730385,0.110049679875374,-0.563899636268616,-0.425378829240799,79.282,104.167554744526,1.41109078954246,40.2638961581812
15162734205.2462,3.3422999382019,2.93465567,0.0885764509439468,-0.572924494743347,-0.376249194145203,76.989,103.571131386861,1.62088661717011,25.6887974472176
171000699876.747,4.33701992034912,3.02516317,-1.09584629535675,-0.633444845676422,-0.767772257328033,72.941,14.5144272674599,4.85859062814939,8.5204211841429
209059080929.499,7.63759708404541,4.37614059,-1.32504332065582,-0.521544516086578,-0.812617719173431,74.202,15.6442613383493,8.89145091062317,6.99435435802654
209755003250.664,7.29229640960693,4.28830338,-1.20237147808075,-0.472622781991959,-0.693158984184265,74.615,15.9549850109584,3.25423910998847,6.94494065023648
213809979836.314,7.31870079040527,4.71454287,-1.19053518772125,-0.61265641450882,-0.804205596446991,75.11,16.2738871581281,2.91692692067458,7.18426106790366
165979224866.131,7.96296739578247,4.9170022,-1.09078657627106,-0.639073312282562,-0.942101240158081,75.622,16.6026255583626,4.78444700693889,8.72709940093002
160034212126.018,7.34434270858765,4.47245169,-1.09974193572998,-0.67341673374176,-0.917128682136536,75.732,16.9369083372205,6.39769480268757,8.94144726748599
170096988531.906,6.4018383026123,4.14140797,-0.919614136219025,-0.598509311676025,-0.925527453422546,75.743,17.2716286111714,5.59111590961664,8.4563180861188
174910684781.571,6.32453918457031,4.05819464,-0.842121779918671,-0.658660113811493,-0.807303428649902,76.066,17.6035123046545,4.26999020467084,8.61492408470506
171760275466.61,6.03690671920776,4.06651545,-1.05582988262177,-0.655895113945007,-0.861796259880066,76.474,17.9303156808402,1.95176821052892,7.67200166253342
145743542982.628,7.04239749908447,3.95616674,-0.847814321517944,-0.66646021604538,-0.800302982330322,74.453,18.2436570559099,2.41513094083414,7.15416061206949
9129594815.57661,2.60753011703491,1.11098742,-2.03817391395569,-1.197514295578,-1.60150170326233,46.024,13.1499655089436,324.996871601321,32.4959657019852
