country,date,agricultural_land%,forest_land%,land_area,avg_precipitation,trade_in_services%,control_of_corruption_estimate,control_of_corruption_std,access_to_electricity%,renewvable_energy_consumption%,electric_power_consumption,CO2_emisions,other_greenhouse_emisions,population_density,inflation_annual%,real_interest_rate,risk_premium_on_lending,research_and_development_expenditure%,central_goverment_debt%,tax_revenue%,expense%,goverment_effectiveness_estimate,goverment_effectiveness_std,human_capital_index,doing_business,time_to_get_operation_license,statistical_performance_indicators,individuals_using_internet%,logistic_performance_index,military_expenditure%,GDP_current_US,political_stability_estimate,political_stability_std,rule_of_law_estimate,rule_of_law_std,regulatory_quality_estimate,regulatory_quality_std,government_expenditure_on_education%,government_health_expenditure%,multidimensional_poverty_headcount_ratio%,gini_index,birth_rate,death_rate,life_expectancy_at_birth,population,rural_population,voice_and_accountability_estimate,voice_and_accountability_std,intentional_homicides
Bhutan,01-01-2000,14.522613065,65.477386935,39800,2200,,0.574339628,0.346905559,31.15,91.4,,388.84,1057.92629,14.753944724,4.012120811,8.057557546,,,40.480374945,10.364649344,19.850156664,0.618822575,0.331546426,,,,,0.400944447,,,424448931.007248,0.491936684,0.453906059,0.130426154,0.291758239,-0.428554446,0.416249961,5.786759853,3.54262948,,,25.58,8.368,62.01,587207,437951,-1.112356544,0.254042536,3.065358553
Bolivia,01-01-2000,34.286901135,50.864386597,1083300,1146,9.509713539,-0.483501077,0.221239895,69.963045,29.79,407.440958884,8108.1,31098.26178,7.931926521,4.608229989,27.948395719,23.6025,0.287440002,60.109197740,12.330802881,20.553649005,-0.309992284,0.216711581,,,,,1.442763585,,2.062971513,8397855484.76908,-0.237061173,0.342506409,-0.368222207,0.167917758,0.015979305,0.262556583,,2.43201661,,61.6,29.717,9.826,62.346,8592656,3283512,0.189972907,0.193243936,
Bosnia and Herzegovina,01-01-2000,41.6015625,41.243164062,51200,1028,12.807880725,-0.595849037,0.203656286,98.999183655,19.35,1822.292940290,13955.1,18656.89406,81.627929688,,,,,,,,-1.057379365,0.262302756,,,,,1.08296075,,,5567772768.81188,-0.528393328,0.377755851,-0.602258623,0.173473224,-0.683763087,0.278180361,,4.08413935,,,10.068,8.358,74.496,4179350,2407974,-0.108343385,0.206169248,2.368789405
Botswana,01-01-2000,45.790764562,31.091877967,566730,416,15.068036476,0.858368933,0.250185400,26.516162872,38.46,1099.604223546,4033.8,13640.71335,3.047280010,8.601485149,1.145825237,,,,,,0.420466751,0.238578707,,,,,2.902666622,,3.191242951,5788329609.15755,1.074352503,0.342506409,0.577083766,0.183204845,0.796799183,0.307668597,,3.2540555,,,28.961,13.128,51.011,1726985,807901,0.674277008,0.197282910,
Brazil,01-01-2000,27.317501262,65.934358601,8358140,1782,3.901831890,0.013238784,0.199174166,94.431411743,42.66,1885.665464971,313670.8,772340.1186,21.042207955,7.044141059,48.504728200,38.324166667,1.047510028,,,,0.043085087,0.203009099,,,,,2.870685159,,1.730726147,655448231983.527,0.184101626,0.313380271,-0.244871855,0.160435691,0.258442432,0.234316275,3.948930025,3.47014546,,,19.841,6.399,69.737,175873720,33078329,0.301593602,0.192720860,25.799761402
Brunei Darussalam,01-01-2000,2.277039848,75.332068311,5270,2722,,0.352338552,0.423073262,100,0,7528.614124087,4717.9,6699.814634,63.363567362,1.558152476,-18.227012295,,,,,,0.866731763,0.282076955,,,,,8.996284534,,4.069205490,6001282104.08228,1.302023292,0.396205485,0.517945468,0.295840859,0.942103505,0.400772959,3.705909967,2.14734912,,,19.012,3.331,74.08,333926,96291,-0.712918997,0.250924617,1.197868393
Bulgaria,01-01-2000,50.456476543,30.507095724,110630,608,29.026223040,-0.178624526,0.184283942,88.091957092,7.97,3673.606871434,43421.1,57837.64925,73.851324234,10.316262129,3.690179701,,0.495169997,61.572458265,20.457993065,,0.037975479,0.214524329,,,,,5.370923469,,2.652455762,13245990274.4581,0.377964616,0.342506409,-0.123777077,0.157821313,0.199957490,0.240291715,4.219832897,3.4715004,,,9,14.1,71.663414634,8170172,2541005,0.460498780,0.180663228,4.099933913
Burkina Faso,01-01-2000,37.145467836,26.376096491,273600,748,,0.124697194,0.329849035,9.101531029,85.4,,1048.93,15984.91011,43.431608187,-0.304212168,,,,,,,-0.783201575,0.282076955,,,,,0.077080169,,1.238046381,2968370087.59759,0.059820332,0.396205485,-0.732384086,0.252346784,-0.157018542,0.356891841,,0.96129316,,,45.188,15.314,50.847,11882888,9762505,-0.230154827,0.212500870,
Burundi,01-01-2000,72.702492212,7.552180685,25680,1218,5.353733076,-0.824704230,0.346905559,2.538277864,93.23,,262.6,1659.560708,245.625350467,24.432024210,-16.679197536,,,,,,-1.412281871,0.331546426,,,,,0.077248447,,4.862402213,870486065.883137,-2.014070749,0.453906059,-1.568517089,0.291758239,-1.136425018,0.416249961,2.645479918,1.46507239,,,42.473,15.907,47.514,6307659,5787529,-1.489835978,0.235382617,
Cabo Verde,01-01-2000,17.866004963,9.856079404,4030,228,39.761331142,1.127157092,0.472813964,58.560192108,27.88,,305.8,462.267673,113.709925558,-2.477456685,,,,,,,,,,,,,1.822443852,,1.154025913,539227277.626411,1.223599792,0.586516798,0.638421953,0.402223736,-0.016364954,0.628020644,,3.16139579,,,29.024,5.844,68.618,458251,213385,0.803981602,0.265792668,
