country,date,agricultural_land%,forest_land%,land_area,avg_precipitation,trade_in_services%,control_of_corruption_estimate,control_of_corruption_std,access_to_electricity%,renewvable_energy_consumption%,electric_power_consumption,CO2_emisions,other_greenhouse_emisions,population_density,inflation_annual%,real_interest_rate,risk_premium_on_lending,research_and_development_expenditure%,central_goverment_debt%,tax_revenue%,expense%,goverment_effectiveness_estimate,goverment_effectiveness_std,human_capital_index,doing_business,time_to_get_operation_license,statistical_performance_indicators,individuals_using_internet%,logistic_performance_index,military_expenditure%,GDP_current_US,political_stability_estimate,political_stability_std,rule_of_law_estimate,rule_of_law_std,regulatory_quality_estimate,regulatory_quality_std,government_expenditure_on_education%,government_health_expenditure%,multidimensional_poverty_headcount_ratio%,gini_index,birth_rate,death_rate,life_expectancy_at_birth,population,rural_population,voice_and_accountability_estimate,voice_and_accountability_std,intentional_homicides
Armenia,01-01-2020,58.868984896,11.537407798,28470,562,16.458521269,-0.003438700,0.157668769,100,8.38,,6746.6,10422.04117,98.546118721,1.211435778,9.639110340,5.797729686,0.209199995,63.401214007,21.860419276,26.581287778,-0.304616541,0.249917418,0.578998804,,7.2,82.938333333,76.50770055,,4.982543724,12641698583.2152,-0.771642268,0.237614140,-0.125852257,0.149982378,0.238748029,0.233334079,2.705559969,2.35682821,19.1,25.1,12.455,12.792,72.173,2805608,1029293,0.047159709,0.130757630,1.853430370
Aruba,01-01-2000,11.111111111,2.333333333,180,,118.963882295,,,91.660398003,0.18,,,,495.005555556,4.044021312,10.917450066,,,,,,,,,,,,15.44282295,,,1873452513.96648,,,,,,,4.715360165,,,,14.427,6.335,73.569,89101,47476,,,
Australia,01-01-2000,59.288103823,17.158155761,7682300,534,9.440618627,1.862088323,0.199174166,100,8.42,10260.446243542,339422.8,606860.8124,2.476966794,4.457435148,5.037423965,1.740582488,1.573199987,29.522812122,23.024141584,24.028858836,1.732170224,0.203009099,,,,,46.75611561,,1.829841913,416167815092.908,1.333964705,0.313380271,1.722066879,0.162823543,1.575613499,0.234316275,4.884079933,5.45928478,,,13,6.7,79.234146341,19028802,2999891,1.471305132,0.202215627,1.903463583
Australia,01-01-2020,46.252479843,17.421314557,7692020,534,6.715293028,1.632955909,0.151016146,100,10.89,,378996.8,571903.1199,3.334526951,0.846905537,,,,69.219055950,22.557515426,30.210450681,1.573775530,0.253219694,0.770239532,,,85.727916667,96.39446689,,2.010640099,1330381544909.3,0.861676931,0.208693087,1.614245057,0.152624100,1.813946962,0.233886927,5.608449936,7.99613142,,,11.5,6.3,83.2,25649248,3529080,1.298030496,0.140298322,0.860925459
Austria,01-01-2000,35.630150267,46.511633543,82520,1110,,1.751058698,0.199174166,100,26.43,7076.269483394,63538.6,78694.10972,97.086354823,2.344862854,,,1.886019945,64.739782239,26.225079876,46.263788439,1.847265244,0.203009099,,,,,33.73013295,,0.980318580,197289625479.906,0.822056413,0.313380271,1.812332630,0.162370503,1.475475550,0.234316275,5.588809967,6.82578707,,29,9.8,9.6,78.126829268,8011566,3187562,1.317559481,0.202215627,1.023665588
Austria,01-01-2020,31.539813379,47.250969462,82520,1110,27.738147236,1.477789164,0.149796650,100,35.77,,59142.4,71017.8287,108.057004363,1.381910634,,,3.201489925,99.909697973,24.415139802,50.574651172,1.606263638,0.231866837,0.746739745,,,89.779166667,87.52942813,,0.884127145,435049316955.737,0.887528837,0.226481333,1.770163417,0.150381744,1.395227313,0.233886927,5.569009781,8.763134,17.5,29.8,9.4,10.3,81.192682927,8916864,3678385,1.394437790,0.111107700,0.729699453
Azerbaijan,01-01-2000,57.386356758,11.951092549,82605,447,14.115896912,-1.292382717,0.200032040,98.908222450,2.07,2040.479089531,27687.2,38178.85835,97.434779977,1.805003037,6.367573025,2.923333333,0.335999995,,,,-0.951395214,0.235669583,,,,,0.147757576,,2.267862063,5272615722.96892,-0.829794765,0.342506409,-1.145636201,0.168582842,-0.859866619,0.273415029,3.853990078,0.86689276,,,14.5,5.8,64.891,8048600,3912746,-0.906228960,0.184215844,2.759349218
Azerbaijan,01-01-2020,57.838249885,13.694189676,82646,447,19.163301568,-1.077084064,0.164010197,100,1.23,,34305,55351.99383,122.124736829,2.759809470,26.536821284,,0.223900005,22.189999463,15.185572507,33.931476575,-0.155563846,0.271498591,0.577767551,,,70.867083333,84.59999573,,5.390494994,42693000000,-0.852247477,0.237614140,-0.730720103,0.154000342,-0.336040139,0.237654984,4.332049847,1.58928382,,,12.5,7.5,66.868,10093121,4400904,-1.541516423,0.129524559,2.236277062
"Bahamas, The",01-01-2000,1.098901099,50.935064935,10010,1292,37.131320986,1.302323818,0.423073262,100,0,,2115.3,2319.424631,32.468931069,1.606329417,5.030872342,4.9675,,18.752004279,10.678687595,10.259432648,1.234283805,0.282076955,,,,,8,,,8076470000,1.279531837,0.396205485,1.290822387,0.265642911,1.143104911,0.356891841,2.232840061,1.50591624,,,18.215,5.706,72.041,325014,58480,1.202225447,0.250924617,22.768249983
"Bahamas, The",01-01-2020,1.298701299,50.935064935,10010,1292,27.103772946,1.106205940,0.183201149,100,1.41,,2456,2801.144379,40.606493506,0.038521098,6.753465840,2.454366667,,83.972894883,19.050099102,27.453558547,0.405644178,0.317806572,,,,48.143333333,92.4760204,,,9754600000,0.830237448,0.232469827,0.023263842,0.166155353,0.001366154,0.256939679,2.866807222,4.59830189,,,11.49,8.076,72.677,406471,68104,0.915464580,0.158757418,17.959438731
Bahrain,01-01-2000,13.943661972,0.521126761,710,83,19.176374507,0.360480934,0.284301758,100,0,18697.237441703,15876.5,25623.79391,1002.030985915,-0.704852953,-14.145856433,5.043730530,,25.745014893,3.732777721,20.744501343,0.551933765,0.238578707,,,,,6.153732546,,3.961670969,9062898936.17021,0.056266963,0.342506409,0.280279636,0.186719641,0.748302877,0.307668597,,2.3711853,,,20.739,2.595,75.496,711442,82726,-1.056879878,0.226859897,
Bahrain,01-01-2020,10.318471338,0.891719745,785,83,61.087896444,-0.093593940,0.192951337,100,0,,32470.2,54151.41004,1882.126114650,-2.317706293,,,,,,,0.390768141,0.256462783,0.652472019,,,60.0125,99.67103159,,4.045649510,34621807712.766,-0.610109270,0.237614140,0.455399364,0.168031543,0.614857495,0.242797241,2.552374601,2.96118394,,,12.621,2.239,79.174,1477469,155046,-1.453301787,0.143680483,0
Bangladesh,01-01-2000,72.213259584,14.752462933,130170,2666,4.615930715,-1.212082624,0.221239895,32,60.2,103.364471758,20686.7,111593.3328,992.496942460,2.208256209,8.998203238,,,,,,-0.607652247,0.216711581,,,,,0.071039423,,1.357119181,53369787318.6245,-0.726261258,0.342506409,-0.991129994,0.169623196,-0.941208124,0.262556583,2.125080109,0.59449899,,33.4,28.956,6.855,65.779,129193327,98716621,-0.227924496,0.202820122,2.587594946
