GDP_per_capita,country,date,agricultural_land%,forest_land%,land_area,avg_precipitation,trade_in_services%,control_of_corruption_estimate,control_of_corruption_std,access_to_electricity%,renewvable_energy_consumption%,electric_power_consumption,CO2_emisions,other_greenhouse_emisions,population_density,inflation_annual%,real_interest_rate,risk_premium_on_lending,research_and_development_expenditure%,central_goverment_debt%,tax_revenue%,expense%,goverment_effectiveness_estimate,goverment_effectiveness_std,human_capital_index,doing_business,time_to_get_operation_license,statistical_performance_indicators,individuals_using_internet%,logistic_performance_index,military_expenditure%,GDP_current_US,political_stability_estimate,political_stability_std,rule_of_law_estimate,rule_of_law_std,regulatory_quality_estimate,regulatory_quality_std,government_expenditure_on_education%,government_health_expenditure%,multidimensional_poverty_headcount_ratio%,gini_index,birth_rate,death_rate,life_expectancy_at_birth,population,rural_population,voice_and_accountability_estimate,voice_and_accountability_std,intentional_homicides
47544.981147276,Belgium,01-01-2018,44.715984148,22.764200793,30280,847,45.691900819,1.429420352,0.134504512,100,10.65,,93523.2,108952.4335,377.379590489,2.053164999,,,2.860179901,101.392739456,24.008566011,39.893094415,1.224721551,0.209096208,0.762759745,,,82.1875,88.647343,4.04,0.891358085,543299066998.902,0.393630445,0.208318025,1.338616490,0.152301222,1.259039402,0.222046480,6.381070137,8.33381271,20,27.2,10.4,9.7,81.595121951,11427054,228427,1.330212235,0.123570561,
46641.721401709,Belgium,01-01-2019,44.795990753,22.764200793,30280,847,46.291253726,1.448995948,0.147132814,100,10.2,,92989.4,108086.3373,379.424702774,1.436819570,,,3.156599998,103.382510765,22.634110491,39.438434583,1.113467336,0.227597624,,46,,82.805,90.27542801,,0.888487292,535865804349.803,0.458316237,0.223971575,1.336226940,0.158844471,1.276537299,0.224274337,6.333970070,8.10391235,19.5,27.2,10.2,9.5,81.995121951,11488980,225069,1.308348417,0.122978196,
45609.003493611,Belgium,01-01-2020,45.066357332,22.764200793,30280,847,45.184502993,1.445956349,0.154146329,100,12.28,,85364.1,100063.4878,381.063540291,0.740791812,,,3.396970034,119.241639785,22.011938421,44.027240939,1.078783035,0.248788178,0.760419667,,95.5,81.948333333,91.52641629,,1.014513524,526264230147.394,0.521023035,0.226481333,1.328004122,0.154432774,1.343635798,0.238239184,6.812329769,8.75983047,18.9,26,9.9,11,80.695121951,11538604,221657,1.278445244,0.111107700,
2470.072151307,Bhutan,01-01-2012,13.631712884,71.077104704,38117,2200,16.707120412,0.953947246,0.202012673,91.5,87.32,,833.9,1496.462975,18.919248629,10.919656945,4.414795204,,,74.242212205,15.054241716,20.922436986,0.542693615,0.241578862,,,,,15.6,2.52,,1781280181.55431,0.776309490,0.254446119,0.260953724,0.159251347,-1.093008518,0.187246606,,2.51806545,12.4,38.8,18.541,6.689,69.326,721145,458857,-0.280920058,0.129154235,4.576052960
3427.173844509,Bhutan,01-01-2017,13.449035235,71.286178691,38144,2200,14.338403235,1.529062629,0.185757682,97.7,83.63,,1309.5,1945.742577,19.822803062,4.955083670,2.786646704,,,95.778681103,11.859194018,17.620357009,0.563984692,0.248026371,,,,52.355,54.3,,,2591358114.48376,1.102793097,0.233241320,0.630079210,0.182148397,-0.339257926,0.215273783,6.699768543,2.48946476,5.8,37.4,14.912,6.94,70.847,756121,452410,0.010954513,0.142855078,1.719300403
6863.667067741,Bulgaria,01-01-2010,46.536477524,34.423360354,108560,608,19.646586729,-0.237023547,0.123825110,93.511558533,14.27,4560.414917034,44740.6,57043.54655,68.124530214,2.438990605,10.301519665,8.586016667,0.563069999,20.589136527,17.871431557,31.651484781,-0.065325461,0.208492503,0.636619270,,,,46.23,2.83,1.642679166,50760929302.5147,0.360091060,0.239330947,-0.097061358,0.132557839,0.680432558,0.177897826,3.857969999,3.91961002,49.2,35.7,10.2,14.9,73.512195122,7395599,2048433,0.531482577,0.125552282,1.949350474
7857.167069844,Bulgaria,01-01-2011,46.868091378,34.600221076,108560,608,19.107283385,-0.269264370,0.120308526,94.118186951,13.22,4863.691441101,49637.6,62924.95808,67.689093589,4.219903466,4.256439509,9.376725000,0.529510021,19.481717868,17.882715148,29.869932711,-0.071111389,0.204298556,,,,,47.97999305,,1.314030545,57737040780.0157,0.301750302,0.238522351,-0.141564161,0.124801762,0.552520037,0.167996213,3.546979904,3.84530854,49.1,34.3,9.6,14.7,74.163414634,7348328,2010650,0.450080156,0.122662872,1.696908313
7430.737380424,Bulgaria,01-01-2012,47.190493736,34.777081798,108560,608,21.262988658,-0.281460792,0.116355352,94.726684570,15.63,4761.912583385,45023.1,57187.08959,67.298157701,2.954568298,8.507411744,,0.600359976,21.796216848,18.385335265,30.939864497,-0.028386928,0.201146349,,,,,51.89998767,3.21,1.329769454,54288135058.7926,0.379833996,0.219665527,-0.115051359,0.127773553,0.574710846,0.181642860,3.476370096,3.82975197,49.3,36,9.5,15,74.314634146,7305888,1974416,0.400915593,0.118001364,1.882926319
7687.713682433,Bulgaria,01-01-2013,46.011422255,34.953942520,108560,608,21.672389759,-0.327604949,0.120586522,95.333206177,18.24,4639.706322612,39660.7,52036.53622,66.922577377,0.890093541,8.965006357,8.6439375,0.634329975,22.053939324,19.686282235,32.950887649,-0.012636180,0.193529874,,,39.1,,53.0615,,1.454247973,55852123989.9504,0.170710385,0.225787356,-0.147228062,0.131069943,0.549109817,0.182338491,4.058229923,4.04010868,48,36.6,9.2,14.4,74.860975610,7265115,1938841,0.337270796,0.117903799,1.466795090
7912.274843711,Bulgaria,01-01-2014,45.845615328,35.130803242,108560,608,25.629615521,-0.302766591,0.119011506,95.934707642,17.15,4708.927457572,42054.4,54624.01798,66.543275608,-1.418183803,6.830279083,7.048458333,0.790050030,32.501665405,19.566620773,37.999902029,-0.111549824,0.204176322,,,,,55.49,3.157151,1.309561567,57157782909.9307,0.078540899,0.192247406,-0.081918642,0.137211248,0.585273623,0.190162286,4.070053101,4.47436905,40.1,37.4,9.4,15.1,74.465853659,7223938,1903435,0.366481721,0.124685392,1.519232912
