country,date,agricultural_land%,forest_land%,land_area,avg_precipitation,trade_in_services%,control_of_corruption_estimate,control_of_corruption_std,access_to_electricity%,renewvable_energy_consumption%,electric_power_consumption,CO2_emisions,other_greenhouse_emisions,population_density,inflation_annual%,real_interest_rate,risk_premium_on_lending,research_and_development_expenditure%,central_goverment_debt%,tax_revenue%,expense%,goverment_effectiveness_estimate,goverment_effectiveness_std,human_capital_index,doing_business,time_to_get_operation_license,statistical_performance_indicators,individuals_using_internet%,logistic_performance_index,military_expenditure%,GDP_current_US,political_stability_estimate,political_stability_std,rule_of_law_estimate,rule_of_law_std,regulatory_quality_estimate,regulatory_quality_std,government_expenditure_on_education%,government_health_expenditure%,multidimensional_poverty_headcount_ratio%,gini_index,birth_rate,death_rate,life_expectancy_at_birth,population,rural_population,voice_and_accountability_estimate,voice_and_accountability_std,intentional_homicides,GDP per capita
Afghanistan,2012-01-01,58.129800837128,1.85278199408184,652230.0,327.0,18.2504470600021,-1.43037283420563,0.186088413000107,69.1,15.36,,10208.13,30928.57237,46.7112506324456,6.44121280934117,7.17438724377995,,,,7.70780060287773,42.3292514484608,-1.37553513050079,0.2263523042202,,,,,5.454545455,2.3,1.17541612009987,19907329905.9776,-2.41856145858765,0.243881538510323,-1.6518931388855,0.169416144490242,-1.19257974624634,0.183461114764214,2.60419988632202,0.34288675,,,40.009,7.711,61.923,30466479.0,23105778.0,-1.26743006706238,0.134757056832314,6.39391257509462,653.417479124437
Afghanistan,2013-01-01,58.123668031216,1.85278199408184,652230.0,327.0,11.9424038939902,-1.44590842723846,0.159914895892143,68.0408782958984,16.86,,9402.05,30430.30008,48.3590282569032,7.38577178397855,9.78449593802697,,,,7.12277329020889,42.0936844468805,-1.39949083328247,0.221445962786675,,,,,5.9,,1.07694976762403,20146416876.3886,-2.51934909820557,0.245741248130798,-1.60911154747009,0.161895737051964,-1.19309020042419,0.176221236586571,3.45445990562439,0.44335932,,,39.601,7.478,62.417,31541209.0,23853670.0,-1.24006843566895,0.123408414423466,,638.7331847802219
Afghanistan,2014-01-01,58.123668031216,1.85278199408184,652230.0,327.0,13.8664162103284,-1.36474287509918,0.161357954144478,89.5,18.93,,9281.34,31165.8158,50.160541526762,4.67399603536305,14.351689339956,,,,6.88210294277301,44.5892994893339,-1.35930466651917,0.233898401260376,,,13.7,,7.0,2.069573,1.29801287790022,20497128600.3363,-2.41106843948364,0.208894610404968,-1.43704450130463,0.179478317499161,-1.12413370609283,0.194094315171242,3.69521999359131,0.47265697,,,39.105,7.395,62.545,32716210.0,24672275.0,-1.13543999195099,0.132240206003189,,626.5129304505717
Afghanistan,2015-01-01,58.123668031216,1.85278199408184,652230.0,327.0,10.7426792621561,-1.35423982143402,0.16149228811264,71.5,17.53,,10057.59,31619.07371,51.7509145546816,-0.66170916471352,12.2525481623247,,,,7.58538233129798,37.0225695736427,-1.39618384838104,0.243076026439667,,,,,8.26,,0.994575822723645,19134221744.5294,-2.56262516975403,0.213430002331734,-1.51520264148712,0.175717651844025,-1.0188262462616,0.189519569277763,3.2558000087738,0.52267277,,,38.803,7.331,62.659,33753499.0,25381619.0,-1.11755669116974,0.134631022810936,9.97526212023234,566.8811326650728
Afghanistan,2016-01-01,58.123668031216,1.85278199408184,652230.0,327.0,9.0529206533144,-1.54035270214081,0.165113985538483,97.7,19.92,,9294.93,30864.98363,53.1042837649295,4.38389195513893,17.5839381607368,,,,9.50265278288094,43.9227656125389,-1.29025280475616,0.233016058802605,,,,37.2229166666667,11.0,2.141282,0.956772140958855,18116572399.1298,-2.6621561050415,0.217759668827057,-1.52071392536163,0.175973922014236,-1.33969509601593,0.197117641568184,4.54397010803223,0.60012972,51.7,,37.936,7.077,63.136,34636207.0,25970228.0,-1.03778803348541,0.129876375198364,6.69241862002357,523.0530121017523
Afghanistan,2017-01-01,58.123668031216,1.85278199408184,652230.0,327.0,8.58068227835621,-1.53190970420837,0.162200152873993,97.7,19.21,,10022.78,31750.55044,54.6485411587937,4.97595150553892,12.1411782947908,,,,9.89845089688421,39.2201099807684,-1.38897216320038,0.235828951001167,0.389,,,42.5779166666667,13.5,,0.945226799939516,18753456506.5708,-2.79497361183167,0.225671410560608,-1.58373689651489,0.165211975574493,-1.36976277828217,0.194596856832504,4.34319019317627,0.64313394,,,37.342,7.027,63.016,35643418.0,26643455.0,-0.99081426858902,0.130804926156998,6.80069468647332,526.140801271382
Afghanistan,2018-01-01,58.2769881790166,1.85278199408184,652230.0,327.0,11.6383046795092,-1.50288057327271,0.15477192401886,93.4308776855469,17.96,,10972.38,32580.49106,56.2482314520951,0.626149149168983,,,,,,,-1.50134539604187,0.245708838105202,0.393489241600037,,,49.845,16.8,1.95,1.00674585570556,18053222734.8881,-2.75326204299927,0.223669990897179,-1.68858671188354,0.159508109092712,-1.13820362091064,0.197536751627922,,0.55239552,,,36.927,6.981,63.081,36686784.0,27333488.0,-1.00705206394196,0.134252890944481,6.74357283538399,492.09063228022654
Afghanistan,2019-01-01,58.2769881790166,1.85278199408184,652230.0,327.0,9.91813401747342,-1.41949915885925,0.154592856764793,97.7,18.51,,11238.83,32736.76917,57.9082516903546,2.30237251516819,,,,,,,-1.51861417293549,0.245630532503128,,173.0,,49.75625,17.6,,1.17096838242129,18799444414.5998,-2.65240693092346,0.237725615501404,-1.74131882190704,0.158325582742691,-1.11377799510956,0.19708089530468,,0.49705607,,,36.466,6.791,63.565,37769499.0,28042342.0,-1.00657486915588,0.127118185162544,7.18039716624779,497.7414292575022
Afghanistan,2020-01-01,58.7415482268525,1.85278199408184,652230.0,327.0,9.04384549552644,-1.49369978904724,0.157480105757713,97.7,17.58,,8709.47,31119.04539,59.7522806371985,,,,,,,,-1.60950922966003,0.278781324625015,0.400284141302109,,,54.3966666666667,18.4,,1.35885692738929,19955929060.841,-2.70263171195984,0.24160347878933,-1.83137428760529,0.155655145645142,-1.38916301727295,0.214174583554268,,1.18621242,49.4,,36.051,7.113,62.575,38972230.0,28829317.0,-1.07768857479095,0.131611853837967,6.59443908400367,512.0550982286875
Afghanistan,2021-01-01,58.7415482268525,1.85278199408184,652230.0,,,-1.15232741832733,0.182760819792747,97.7,17.86,,,,61.4805544056544,,,,,,,,-1.66956210136414,0.300028264522552,,,,58.0141666666667,,,1.827933856217,14266499429.8746,-2.51853036880493,0.24306446313858,-1.87635684013367,0.171970620751381,-1.31168210506439,0.22888158261776,,0.55571794,,,35.842,7.344,61.982,40099462.0,29547690.0,-1.56788992881775,0.134174570441246,4.02249785795131,355.77782639264836
