country,date,agricultural_land%,forest_land%,land_area,avg_precipitation,trade_in_services%,control_of_corruption_estimate,control_of_corruption_std,access_to_electricity%,renewvable_energy_consumption%,electric_power_consumption,CO2_emisions,other_greenhouse_emisions,population_density,inflation_annual%,real_interest_rate,risk_premium_on_lending,research_and_development_expenditure%,central_goverment_debt%,tax_revenue%,expense%,goverment_effectiveness_estimate,goverment_effectiveness_std,human_capital_index,doing_business,time_to_get_operation_license,statistical_performance_indicators,individuals_using_internet%,logistic_performance_index,military_expenditure%,GDP_current_US,political_stability_estimate,political_stability_std,rule_of_law_estimate,rule_of_law_std,regulatory_quality_estimate,regulatory_quality_std,government_expenditure_on_education%,government_health_expenditure%,multidimensional_poverty_headcount_ratio%,gini_index,birth_rate,death_rate,life_expectancy_at_birth,population,rural_population,voice_and_accountability_estimate,voice_and_accountability_std,intentional_homicides,year
American Samoa,2010-01-01,12.85,87.15,200.0,,,0.328756839036942,0.430662959814072,,0.0,,,,274.245,,,,,,,,0.487727552652359,0.449280053377151,,,,,,,,573000000.0,0.919146716594696,0.39340415596962,1.11120820045471,0.411506086587906,0.393958419561386,0.460222959518433,,,,,18.7,,,54849.0,6805.0,0.988284409046173,0.478729426860809,9.11585338061423,2010
American Samoa,2021-01-01,14.5,85.5,200.0,,,1.2798718214035,0.428422212600708,,0.52,,,,225.175,,,,,,,,0.639231383800507,0.484019696712494,,,,,,,,750000000.0,1.06857633590698,0.336863189935684,1.13890171051025,0.495514720678329,0.534613013267517,0.487263292074203,,,,,,,,45035.0,5778.0,0.960498690605164,0.548238813877106,,2021
Andorra,2010-01-01,42.063829787234,34.0425531914894,470.0,,,1.30177271366119,0.430662959814072,100.0,18.67,,516.624,627.01459,152.168085106383,,,,,,,,1.51271617412567,0.449280053377151,,,,,81.0,,,3449925693.58181,1.27827215194702,0.352399289608002,1.19792461395264,0.376758366823196,1.38942682743073,0.460222959518433,2.97662997245789,5.87938738,,,9.8,2.8,,71519.0,7997.0,1.32430839538574,0.236173659563065,0.0,2010
Andorra,2021-01-01,39.9068085106383,34.0425531914894,470.0,,86.5266137572733,1.2798718214035,0.428422212600708,100.0,20.59,,,,168.157446808511,,,,,,,,1.74925327301025,0.484019696712494,,,,,93.89752157,,,3325143693.28714,1.58106744289398,0.282457619905472,1.64212965965271,0.495514720678329,1.35934960842133,0.487263292074203,2.58397221565247,,,,,,,79034.0,9596.0,1.03341281414032,0.244714453816414,,2021
Angola,2010-01-01,35.9749739311783,57.8792010908799,1246700.0,1010.0,23.4025832593433,-1.33247494697571,0.160683050751686,34.980052947998,52.51,206.38425864202,22801.5,78893.67568,18.7408237747654,14.4696564932576,-7.35379345431236,11.7235720221269,,,16.599947206125,25.6491757416689,-1.13826775550842,0.199831679463387,,,34.7,,2.8,2.25,4.1775845224338,83799473759.7201,-0.226182341575623,0.243547096848488,-1.27295327186584,0.141045853495598,-1.06021749973297,0.168689534068108,3.42131996154785,1.67409563,,,44.97,11.177,56.726,23364185.0,9396374.0,-1.12052512168884,0.109907656908035,,2010
Angola,2021-01-01,36.8147910483677,52.9817223871019,1246700.0,,10.7418395369986,-0.651610195636749,0.161017894744873,48.2238540649414,,,,,27.6760840619235,25.7542656453085,-13.9893722418114,0.038043518597199,,,,,-1.12807631492615,0.226507976651192,,,,54.7895833333333,32.60230173,,1.28992265308256,66505129989.243,-0.709369480609894,0.216229736804962,-0.984480023384094,0.157608449459076,-0.670014679431915,0.203855380415916,2.2971088886261,,,,38.809,8.009,61.643,34503774.0,11227528.0,-0.854894280433655,0.118508011102676,,2021
Antigua and Barbuda,2010-01-01,20.4545454545455,19.9545454545455,440.0,1030.0,61.213967383419,1.30177271366119,0.430662959814072,98.6913757324219,0.0,,465.8,1004.970423,194.761363636364,3.37002540220148,9.38767614087803,4.7493475073677,,,,,0.487727552652359,0.449280053377151,,,2.9,,47.0,,,1148700000.0,0.904999375343323,0.320087254047394,0.952869892120361,0.365783989429474,0.642825543880463,0.460222959518433,,3.13688278,,,14.715,5.7,76.82,85695.0,63210.0,0.495849043130875,0.236173659563065,7.00157535445475,2010
Antigua and Barbuda,2021-01-01,20.4545454545455,18.3029545454545,440.0,,65.3534710437063,0.231979250907898,0.273426532745361,100.0,0.72,,,,211.861363636364,2.06299638545334,2.36242763396273,,,,,,-0.19328498840332,0.484019696712494,,,,49.5775,95.66338947,,,1601366666.66667,0.949530005455017,0.273985654115677,0.303531020879745,0.32666015625,0.374506026506424,0.360094875097275,3.88049030303955,,,,12.115,6.365,78.497,93219.0,70492.0,0.730730891227722,0.225688368082047,17.1637908377539,2021
Arab World,2010-01-01,40.1603026213215,3.40759814423334,13608823.0,,15.1504584919396,,,87.4822309999527,4.82576885189732,2237.15332749955,1533676.6,2312532.758666,26.7787788113638,3.91106195534028,,,,,,,,,,,,,25.6809726220511,2.70157894736842,4.90210264271158,2346088525053.08,,,,,,,,2.24569591917887,,,28.1075370126172,5.54997680937013,70.0412535714543,364427661.0,158961824.0,,,,2010
Arab World,2021-01-01,39.9707423553453,2.79112084453801,13100559.0,,14.0212501603219,,,90.8456612947772,,,,,34.8474272739049,2.96581008346283,,,0.709654544021875,,,,,,,,15.28,,76.3090766510318,,5.09695756558046,2930480380710.72,,,,,,,,,,,23.7748332749749,5.75036744684021,70.814483021063,456520777.0,185827299.0,,,,2021
