country,date,agricultural_land%,forest_land%,land_area,avg_precipitation,trade_in_services%,control_of_corruption_estimate,control_of_corruption_std,access_to_electricity%,renewvable_energy_consumption%,electric_power_consumption,CO2_emisions,other_greenhouse_emisions,population_density,inflation_annual%,real_interest_rate,risk_premium_on_lending,research_and_development_expenditure%,central_goverment_debt%,tax_revenue%,expense%,goverment_effectiveness_estimate,goverment_effectiveness_std,human_capital_index,doing_business,time_to_get_operation_license,statistical_performance_indicators,individuals_using_internet%,logistic_performance_index,military_expenditure%,GDP_current_US,political_stability_estimate,political_stability_std,rule_of_law_estimate,rule_of_law_std,regulatory_quality_estimate,regulatory_quality_std,government_expenditure_on_education%,government_health_expenditure%,multidimensional_poverty_headcount_ratio%,gini_index,birth_rate,death_rate,life_expectancy_at_birth,population,rural_population,voice_and_accountability_estimate,voice_and_accountability_std,intentional_homicides,debt_to_gdp%,gov_expenditure%,gdp_growth%,tax_revenue_gdp%,inflation_adjusted_gdp,year
Mali,2002-01-01,32.5228038256337,10.896663634352,1220190.0,282.0,14.4480383982888,-0.72459751367569,0.287362098693848,13.0359210968018,83.58,,1243.5,20940.92774,9.79573672952573,5.03282275711195,,,,,11.1732839031018,11.6887497642883,-0.698373138904572,0.232740953564644,,,,,0.227045578,,1.26885043144455,3908121307.01957,0.410831212997437,0.392881572246552,-0.264004319906235,0.238070592284203,-0.578485012054443,0.255278170108795,2.8962299823761,1.10979891,,,47.491,14.888,52.222,11952660.0,8390050.0,0.280810177326202,0.16861067712307,,,7.410798577756628e-08,12.679945611202047,2.858991066380901e-07,3720857161.058203,2002
Malta,2002-01-01,31.25,1.09375,320.0,560.0,46.1802085843475,0.774747252464294,0.359899759292603,100.0,0.09,4500.35230030634,2318.4,2620.46509,1237.403125,2.18849048060549,3.22469389301354,2.01158333333333,0.238309994339943,,53.7273251822357,91.3506748079905,1.05014824867249,0.259410440921783,,,,,28.92,,0.635846067295531,4470446352.32569,1.59826338291168,0.392881572246552,1.47494268417358,0.28353288769722,1.06088125705719,0.291396081447601,3.94616007804871,5.42563534,,,9.9,7.6,78.7390243902439,395969.0,28094.0,1.16790759563446,0.241973489522934,1.48258518378497,,8.82721716590061e-08,9.345472342178308,1.2018335742757494e-06,4374706320.937526,2002
Marshall Islands,2002-01-01,47.2222222222222,52.2222222222222,180.0,,,,,71.4674453735352,18.63,,116.1,148.528668,302.755555555556,,,,,,,,,,,,,,2.335444575,,,131738200.0,,,0.83394581079483,0.708452701568604,,,8.20897960662842,6.33025169,,,34.563,6.3,63.719,54496.0,16557.0,1.22839558124542,0.316182136535645,,,6.231282655014582e-06,7.257702077769812,,,2002
Mauritania,2002-01-01,38.5272145144077,0.398525274085573,1030700.0,92.0,,-0.0830336138606071,0.352838128805161,21.7436180114746,42.13,,1269.7,9147.365624,2.73765693218201,3.8957052575849,13.3863439105326,15.1061666666667,,,,,-0.231615513563156,0.295856952667236,,,,,0.363229415,,2.73938350984677,1777057481.26043,0.382046699523926,0.436297506093979,-0.486519575119019,0.281024992465973,0.172739282250404,0.338029325008392,2.27714991569519,0.87326568,,,36.996,8.704,61.268,2821703.0,1707695.0,-0.793843626976013,0.211364015936852,,,1.2814160147932045e-07,1.7750741954228433,,1710424388.4332228,2002
Mauritius,2002-01-01,49.2610837438424,20.3064039408867,2030.0,2041.0,40.1015125053271,0.328717023134232,0.204630896449089,99.4,17.93,1473.49249265952,2612.6,4434.320269,593.409359605911,6.41933372221151,13.9152847113075,10.6525,0.368050009012222,39.8174938166736,15.0065488041807,19.975617939585,0.371119827032089,0.210306882858276,,,,,10.25262467,,0.196270033883066,4841310239.63687,1.11665415763855,0.319152474403381,1.00008070468903,0.197328507900238,0.303823947906494,0.271542638540268,3.06089997291565,1.70967305,,,16.6,6.9,71.9658536585366,1204621.0,693296.0,0.788582921028137,0.189659297466278,,8.224528453202405e-07,6.322461939859563e-08,4.9347824966371245,3.099687493959546e-07,4549276969.046093,2002
Mexico,2002-01-01,54.8110805319067,35.0285460016976,1943950.0,758.0,4.40353076700459,-0.250572264194489,0.179225131869316,97.897085,10.68,1857.99072012398,386004.6,550227.3621,51.9134139252553,5.03072733151295,2.56725076251463,1.12583333333334,0.354299992322922,,,,0.218386545777321,0.178269043564796,,,,,11.9,,0.421606002464969,810666116505.478,-0.0583082623779774,0.286041706800461,-0.349208414554596,0.173195272684097,0.438464432954788,0.208488583564758,4.45495986938477,2.16505718,,50.6,23.256,4.946,74.106,100917081.0,24860923.0,0.346043467521667,0.161941558122635,9.99632559724949,,5.495431199947859e-10,1.8342137083708687,,771837096725.7401,2002
"Micronesia, Fed. Sts.",2002-01-01,7.85714285714286,91.3057142857143,700.0,,,,,50.135814666748,1.6,,158.3,223.040538,159.988571428571,-0.111442426432945,15.166532831857,,,,,,,,,,,,5.570099705,,,242517200.0,,,0.83394581079483,0.708452701568604,,,,1.69748759,,,29.213,5.128,69.46,111992.0,86984.0,1.02382504940033,0.316182136535645,,,,0.6416957400250389,,242787768.5803884,2002
Middle East & North Africa,2002-01-01,34.6658210087963,1.89271252644472,11226250.0,,,,,92.5394053873073,2.1793468463263,1873.4595088297,1442649.38,2185247.633842,29.7472054336934,1.8329938900205,,,,,,,,,,,,,3.77705516201417,,5.45568063043869,1044485063788.28,,,,,,,5.52995491027832,2.61041733574321,,,24.2943324942855,5.34318058780223,69.9765924524349,333949565.0,136251834.0,,,,,5.294431775042842e-10,-0.4635633117036963,,1025684332640.0896,2002
Middle East & North Africa (IDA & IBRD countries),2002-01-01,24.5738094356049,2.2909133217256,8637920.0,,,,,91.4686351731363,2.93855437728851,1144.59041964779,872569.6,1418550.882402,33.7741748013411,2.72103284850455,,,,,10.6309866781102,22.4415381019403,,,,,,,2.81531473224846,,3.49605194990597,524740281472.209,,,,,,,5.03286671638489,2.17456132844347,,,24.2465473222332,5.6065879300382,69.3087484886951,291738620.0,128866781.0,,,,,9.591157557534372e-10,-2.5219217765391044,2.0259520859126632e-09,510840153102.92737,2002
Middle East & North Africa (IDA & IBRD),2002-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,2002
